path,size,sha256
downloads/video/2021-03-16-contemplating-reincarnation-part-2.mp4,554970801,ac61e7ebfb0f0d12cccd53f3ec1a9b16c501b77884ebb1c247a0712d53a65a45
downloads/video/2021-03-16-contemplating-reincarnation-part-3.mp4,700102386,d40fbb260c202c0e143033bb79dcabf39cb37aac5a0f1260eeaa3adb5d2fa33c
downloads/video/2021-03-29-chris-bache-lsd-and-the-mind-of-the-universe-spmc-2019.mp4,790210429,0dbee914a8d375e46acf9dc0b3fd7368485fc05135513b09a61c8fc7e928b538
downloads/video/2021-04-01-contemplating-reincarnation-part-1.mp4,719380862,576fcf7aa71697f39e5a693b49c57a46a3d46950213acf73a4ba8843356a11c6
downloads/video/2021-04-02-reincarnation-qanda-live-with-richard-rudd.mp4,874468995,d654aa6f1099d03c6a205a15f8da4d6da07d055b26535be0098a62114a0be1b1
downloads/video/2021-04-21-global-collapse-spirituality-and-the-birth-of-the-future-human-attmind-142.mp4,648486631,7ea06969b84a3ede94f2a059c2fce4651e7af157a20b4b3f6d206a27e57567fd
downloads/video/2021-05-03-lsd-and-the-mind-of-the-universe-interview-with-stephen-gray.mp4,248035467,09aa8591564412bd6500074f96b36b6482affc6ff84b55fac09faf30fa6282d9
downloads/video/2021-06-03-lsd-and-the-mind-of-the-universe-christopher-bache-ph-d.mp4,343524441,e15aa7b7d4163b65e65e50fdd4b99c4014e5ffaf2aa8929b12fef01743647876
downloads/video/2021-07-08-mind-blowing-lsd-secrets-revealed-rebel-spirit-radio.mp4,804609464,646ef99545cdf844f9bc35f5c69d4311271a9f8aece965fdaf52803333fe0f2c
downloads/video/2021-11-16-transformative-journey-into-the-cosmic-mind-through-psychedelics-with.mp4,136640457,d9ca409350aa849ed0d60802ef5781ca6c46edc10900f9d7c272ee62c2afb81d
downloads/video/2022-01-20-evolution-of-collective-consciousness-deep-transformation-podcast-part-1.mp4,1838894290,be424e69690eb154aeec28faa756dd002a131e5d215545443a1fd4ba789eb274
